Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
IEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vibration Fault Detection Cyber-physical System with Service Support,B. Xiao; M. Zhu,"MOE Research Center for Software/Hardware Co-Design Engineering and Application, East China Normal University, Shanghai, P. R. China; MOE Research Center for Software/Hardware Co-Design Engineering and Application, East China Normal University, Shanghai, P. R. China",2019 2nd International Conference on Safety Produce Informatization (IICSPI),19-May-20,2019,,,17,21,"Vibration fault detection becomes increasingly used for economical and safety reasons. However, current research reveals some problems such as low accuracy of fault detection, few effective in-depth calculation of vibration data and few flexible architectures in that area. In this paper, a vibration fault detection Cyber-Physical System (CPS)with service support (S-VFDCPS) is presented. From the Service-Oriented Architecture (SOA) point of view, S-VFDCPS consists of enterprise level, gateway level and endpoint level, with relevant vibration detection services on each level. From the Cyber-Physical system (CPS) point of view, it contains three layers: the monitoring and control layer, the network layer and the device layer. Data processing algorithms and services are proposed quantifying the criteria of fault evaluation. It is shown by testing results that our proposed approach and the improvement in design make S-VFDCPS more flexible and accurate in real-time vibration fault detection.",,978-1-7281-4566-2,10.1109/IICSPI48186.2019.9095903,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9095903,Vibration fault detection;cyber-physical system (CPS);serice-oriented architecture (SOA);vibration data processing,Vibrations;Fault detection;Monitoring;Service-oriented architecture;Data processing;Logic gates;Computer architecture,cyber-physical systems;data analysis;fault diagnosis;service-oriented architecture;vibrational signal processing,service support;fault evaluation;vibration fault detection cyber-physical system;service-oriented architecture;enterprise level;gateway level;endpoint level;monitoring and control layer;network layer;device layer;data processing;machine fault detection;vibration signal,,,,16,IEEE,19-May-20,,,IEEE,IEEE Conferences
Enhancing cyber physical system security via anomaly detection using behaviour analysis,V. Gokarn; V. Kulkarni; P. Singh,"Department of Electronics and Telecommunication, MPSTME, Mumbai, India; Department of Electronics and Telecommunication, MPSTME, Mumbai, India; Centre for Development of Advanced computing (C-DAC), Juhu Mumbai, India","2017 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)",22-Feb-18,2017,,,944,948,"Cyber physical systems (CPS) are process control systems interacting with the cyber world. Once connected to the internet, they become prone to attacks and attackers can easily modify the data by tampering the data while passing through the network. Attacks on CPS may not only have financial impacts but also can be a threat to human lives involved. Thus, security of Cyber Physical System is essential. This paper proposes a concept for enhancing security of the Cyber Physical System through an anomaly detection system using behaviour analysis. The proposed system uses Kalman Filter, knowledge base and comparator model. Kalman filter will be used to predict estimated states. Knowledge base will be first trained using simulated data of the system including faulty data. Once the filter is tested and knowledge base is trained, real time data will be passed through the prediction system and the predicted estimates will be compared with the data stored in knowledge base using comparator to detect anomalies. On detection of abnormal data, they will then be further identified as faults or attacks.",,978-1-5090-4442-9,10.1109/WiSPNET.2017.8299901,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8299901,Cyber Physical System (CPS);Power Grid;Anomaly Detection;Kalman Filter,Kalman filters;Knowledge based systems;Security;Anomaly detection;Real-time systems;Mathematical model;Conferences,fault diagnosis;Internet;Kalman filters;process control;security of data,anomaly detection system;behaviour analysis;knowledge base;Kalman filter;prediction system;cyber physical system security;process control systems;faulty data;CPS;comparator model;abnormal data detection,,3,,18,IEEE,22-Feb-18,,,IEEE,IEEE Conferences
Anomaly Detection in Cyber-Physical System using Logistic Regression Analysis,S. S. Noureen; S. B. Bayne; E. Shaffer; D. Porschet; M. Berman,"Electrical Engineering, Texas Tech University, Lubbock, TX, USA; Electrical Engineering, Texas Tech University, Lubbock, TX, USA; United States Army Research Laboratory Adelphi, MD, USA; United States Army Research Laboratory Adelphi, MD, USA; United States Army Research Laboratory Adelphi, MD, USA",2019 IEEE Texas Power and Energy Conference (TPEC),07-Mar-19,2019,,,1,6,"The emerging smart grid, cyber-physical infrastructure, provides a steady, secure, and reliable power system over the current power grid. Synchrophasor systems, like Phasor Measurement Units (PMUs), are a key element of smart grids. They have the capability to measure time-coherent phasors of a grid. The key advantage of PMUs is the fast sampling rate that they provide over traditional Supervisory control and data acquisition (SCADA) systems which can be in the range of 30-120 samples/second. These higher sampling rates come at the cost of higher data quantities. Generating large amounts of data per day poses a challenge in making the most efficient use of information. In this paper, this problem has been addressed utilizing machine learning techniques, Logistic Regression Analysis, on PMU data. Identifying system anomalies in smart power grids is the primary focus of this paper. The standard IEEE 39 Bus system has been modified using the RT-LAB environment to generate faults and to produce synthetic synchrophasor data. Archived/offline mode data from a Phasor data concentrator (PDC) database is being used to train and test the algorithm. Additionally, the algorithm has been tested in real-time using an OPAL-RT digital real-time simulator.",,978-1-5386-9284-4,10.1109/TPEC.2019.8662186,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8662186,Smart Grid;Cyber-Physical System;Phasor Measurement Unit (PMU);Machine Learning Algorithms;Real-Time Digital Simulator,Phasor measurement units;Real-time systems;Smart grids;Logistics;Monitoring;Current measurement;SCADA systems,data acquisition;learning (artificial intelligence);phasor measurement;power engineering computing;power system control;regression analysis;SCADA systems;smart power grids,anomaly detection;cyber-physical system;emerging smart grid;cyber-physical infrastructure;steady power system;reliable power system;current power grid;synchrophasor systems;PMUs;smart grids;time-coherent phasors;fast sampling rate;higher sampling rates;higher data quantities;machine learning techniques;PMU data;system anomalies;smart power grids;standard IEEE 39 Bus system;synthetic synchrophasor data;archived/offline mode data;logistic regression analysis;phasor measurement units;phasor data concentrator database;RT-LAB environment,,7,,22,IEEE,07-Mar-19,,,IEEE,IEEE Conferences
Resistance Strategy of Power Cyber-Physical System under Large-Scale and Complex Faults,B. Wang; Z. Zhang; J. Wang; C. Guo; J. Hao,"State Grid Zhejiang Ningbo Power Supply Company Regulation Center, Ningbo, China; State Grid Zhejiang Ningbo Power Supply Company Regulation Center, Ningbo, China; State Grid Zhejiang Ningbo Power Supply Company Regulation Center, Ningbo, China; Electrical Engineering Department, Zhejiang University, Hangzhou, China; State Grid Zhejiang Ningbo Power Supply Company Regulation Center, Ningbo, China",2022 6th International Conference on Green Energy and Applications (ICGEA),13-Jun-22,2022,,,254,258,"In recent years, with the occurrence of climate change and various extreme events, the research on the resistance of physical information systems to large-scale complex faults is of great significance. Propose a power information system to deal with complex faults in extreme weather, establish an anti-interference framework, construct a regional anti-interference strategy based on regional load output matching and topological connectivity, and propose branch active power adjustment methods to reduce disasters. In order to resist the risk of system instability caused by overrun of branch power and phase disconnection, the improved IEEE33 node test system simulation shows that this strategy can effectively reduce the harm of large-scale and complex faults.",,978-1-6654-2052-5,10.1109/ICGEA54406.2022.9792119,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9792119,extreme weather;large-scale failures;infringement defense strategies;cyber-physical systems;enhanced resilience,Resistance;Climate change;Fluctuations;Impedance matching;Resists;Cyber-physical systems;Systems simulation,cyber-physical systems;disasters;electric resistance;IEEE standards;information systems;power system faults;power system security;power system simulation,system instability;branch power;phase disconnection;resistance strategy;power cyber-physical system;climate change;physical information systems;large-scale complex faults;power information system;extreme weather;anti-interference framework;regional load output matching;active power adjustment methods;IEEE33 node test system simulation,,,,8,IEEE,13-Jun-22,,,IEEE,IEEE Conferences
Process-Based Anomaly Detection and Analysis for Cyber-Physical System with MQTT Protocol,M. A. B. Ahmadon; S. Yamaguchi,"Graduate School of Sciences and Technology for Innovation, Yamaguchi University 2-16-1 Tokiwadai, Ube, Japan; Graduate School of Sciences and Technology for Innovation, Yamaguchi University 2-16-1 Tokiwadai, Ube, Japan",2020 IEEE International Conference on Consumer Electronics (ICCE),23-Mar-20,2020,,,1,6,"In this research, we proposed a process-based anomaly detection method for Cyber-Physical System (CPS). Our method performs relaxation on monitoring the data and focuses more on the relationship of the execution order of message passing between the devices in the MQTT-based network. First, we performed a ‘bird’s eye’ monitoring technique to discover the execution order of message passing in the MQTT network with process mining. Then, we grasp the structure of the process model with a tree model called a process tree. Using the process tree, we check the deviations of normal behavior’s process tree and the monitored behavior’s process tree. Since CPS is a closed-loop system and MQTT protocol has pre-specified execution, we can easily detect deviations in the process tree as an anomaly. However, it is still hard to perform forensic analysis. Next, we proposed a forensic analysis method, which comes as an advantage of this approach compared to the black-boxed detection method, such as machine learning. The process-based approach can backtrack message passing by traversing the process tree and identify the execution operator in the parent nodes to find affected devices and execution order related to the incident. Finally, we showed an application example and evaluation of our method.",2158-4001,978-1-7281-5186-1,10.1109/ICCE46568.2020.9043165,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043165,,Performance evaluation;Protocols;Message passing;Forensics;Machine learning;Cyber-physical systems;Object recognition,cryptographic protocols;cyber-physical systems;data mining;learning (artificial intelligence);message passing;trees (mathematics),black-boxed detection method;message passing;process tree;execution order;Cyber-Physical System;MQTT protocol;process-based anomaly detection method;MQTT-based network;process mining;process model;tree model;normal behavior;monitored behavior;forensic analysis method,,,,16,IEEE,23-Mar-20,,,IEEE,IEEE Conferences
Detecting False Data Injection Attack on Cyber-Physical System Based on Delta Operator,J. Gao; S. Chai; M. Shuai; B. Zhang; L. Cui,"School of Automation, Beijing Institute of Technology, Beijing; School of Automation, Beijing Institute of Technology, Beijing; School of Automation, Beijing Institute of Technology, Beijing; School of Automation, Beijing Institute of Technology, Beijing; School of Automation, Beijing Institute of Technology, Beijing",2018 37th Chinese Control Conference (CCC),07-Oct-18,2018,,,5961,5966,"More and more Cyber-Physical systems (CPSs) providing service for many critical infrastructures have been connected to the Internet, which also attracts more attention of false data injection attacks. Since CPSs require higher performance and high-speed sampling demand, it needs to discover anomalies faster and more effectively to ensure normal operation, when it has been attacked. In this paper, through studying the different discretization methods, we choose a delta operator Kalman Filter and Euclidean detector to detect the false data injection attack in sensors of CPSs and solve the problem of high-speed sampling oscillation. Besides, a false data injection attack model is designed to test and compare with related algorithm. And the result turns out that the delta operator Kalman Filter and Euclidean detector have a robust performance.",1934-1768,978-988-15639-5-8,10.23919/ChiCC.2018.8483314,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8483314,false data injection attack;cyber-physical systems;delta operator Kalman Filters;Euclidean detector,Noise measurement;Kalman filters;Mathematical model;Detectors;Control systems;White noise,computer network security;cyber-physical systems;Kalman filters;security of data,high-speed sampling demand;high-speed sampling oscillation;false data injection attack model;CPS;cyber-physical system providing service;delta operator Kalman Filter;Euclidean detector,,5,,12,,07-Oct-18,,,IEEE,IEEE Conferences
Anomaly Detection and Data Recovery on Mini Batch Distillation Column based Cyber Physical System,W. P. Mardyaningsih; P. H. Rusmin; B. Rahardjo,"Department of Electrical Engineering, Institut Teknologi Bandung, Bandung, Indonesia; Department of Electrical Engineering, Institut Teknologi Bandung, Bandung, Indonesia; Department of Electrical Engineering, Institut Teknologi Bandung, Bandung, Indonesia","2019 6th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",03-Feb-20,2019,,,454,458,"The development of industrial revolution 4.0 in industrial sector opened a cyber gap for outsiders to pose a threat to the system. Industrial control systems initially designed to meet SRA (Safety, Reliability, and Availability) priorities are now beginning to be pressed to consider security aspects related to the magnitude of the impact that can be caused due to external attacks. In making a safe Cyber Physical System (CPS) based automation, risk assessment will be used to determine the level risk of threat. Mini distillation column batch based CPS will be implemented as the approach of CPS in industrial sector. Anomaly detection based data-driven model and data recovery method is proposed to lower the impact of attack on this system.",,978-602-0737-30-0,10.23919/EECSI48112.2019.8977070,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8977070,CPS;anomaly detection;data recovery;risk assessment,,control engineering computing;distillation;distillation equipment;embedded systems;industrial control;production engineering computing;risk management;security of data,risk assessment;mini distillation column batch;CPS;industrial sector;anomaly detection;data-driven model;data recovery;mini batch distillation column;industrial revolution 4.0;cyber gap;industrial control systems;safe Cyber Physical System based automation,,1,,17,,03-Feb-20,,,IEEE,IEEE Conferences
How a cyber-physical system can efficiently obtain a snapshot of physical information even in the presence of sensor faults,B. Andersson; N. Pereira; E. Tovar,"IPP-Hurray Research Group, CISTER ISEP, Polytechnic Institute of Porto, Portugal; IPP-Hurray Research Group, CISTER ISEP, Polytechnic Institute of Porto, Portugal; IPP-Hurray Research Group, CISTER ISEP, Polytechnic Institute of Porto, Portugal",2008 International Workshop on Intelligent Solutions in Embedded Systems,09-Sep-08,2008,,,1,10,We present a distributed algorithm for cyber-physical systems to obtain a snapshot of sensor data. The snapshot is an approximate representation of sensor data; it is an interpolation as a function of space coordinates. The new algorithm exploits a prioritized medium access control (MAC) protocol to efficiently transmit information of the sensor data. It scales to a very large number of sensors and it is able to operate in the presence of sensor faults.,,978-3-00-024989-1,10.1109/WISES.2008.4623298,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4623298,,Media Access Protocol;Algorithm design and analysis;Protocols;Interpolation;Transceivers;Monitoring;Complexity theory,access protocols;cybernetics;distributed sensors;interpolation,cyber-physical system;physical information snapshot;sensor faults;distributed algorithm;interpolation;medium access control protocol,,3,,15,,09-Sep-08,,,IEEE,IEEE Conferences
Impact assessment of anomaly propagation in a naval water distribution cyber-physical system,N. Pelissero; P. M. Laso; J. Puentes,"Chair of Naval Cyber Defense, Ecole Navale, Brest, France; French Maritime Academy (ENSM), Nantes, France; Lab-STICC, UMR CNRS 6285, IMT Atlantique, Brest, France",2021 IEEE International Conference on Cyber Security and Resilience (CSR),06-Sep-21,2021,,,518,523,"Cyber-Physical Systems (CPS) are composed by multiple subsystems that encompass numerous interdependencies. Although indispensable and highly performant from a functional perspective, complex interconnectivity constitutes paradoxically a significant vulnerability when an anomaly occurs. Anomalies could propagate and impact the entire CPS with irreversible consequences. This paper presents an approach to assess the anomaly propagation impact risk on a three layers oriented graph which represents the physical, digital, and system variables of a CPS components and interdependencies. Anomalies are detected applying information quality measures, while potential propagation paths are assessed computing the cumulated risk represented by weights assigned to the graph edges. To verify the cascading impact of different anomalies four cyber-attacks - denial of service, sensor offset alteration, false data injection, and replay attack - were implemented on a simulated naval water distribution CPS. The propagation impact of three anomalies was successfully assessed and the corresponding estimated propagation path, if applicable, confirmed.",,978-1-6654-0285-9,10.1109/CSR51186.2021.9527952,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9527952,Cyber-physical system;cybersecurity;propagation assessment;multilayer graph model;risk estimation,Weight measurement;Image edge detection;Conferences;Estimation;Cyber-physical systems;Computer crime;Resilience,computer crime;cyber-physical systems;graph theory;naval engineering computing;risk management,impact assessment;naval water distribution cyber-physical system;CPS;anomaly propagation impact risk;cyber-attacks;naval water distribution CPS;graph edges,,3,,17,IEEE,06-Sep-21,,,IEEE,IEEE Conferences
